
1491400802
PING 202.181.132.41 (202.181.132.41) 56(84) bytes of data.
64 bytes from 202.181.132.41: icmp_seq=88 ttl=112 time=143 ms
64 bytes from 202.181.132.41: icmp_seq=89 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=90 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=91 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=92 ttl=112 time=260 ms
64 bytes from 202.181.132.41: icmp_seq=93 ttl=112 time=143 ms
64 bytes from 202.181.132.41: icmp_seq=94 ttl=112 time=264 ms
64 bytes from 202.181.132.41: icmp_seq=95 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=96 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=97 ttl=112 time=260 ms
64 bytes from 202.181.132.41: icmp_seq=98 ttl=112 time=141 ms
64 bytes from 202.181.132.41: icmp_seq=99 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=100 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=101 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=102 ttl=112 time=260 ms
64 bytes from 202.181.132.41: icmp_seq=103 ttl=112 time=141 ms
64 bytes from 202.181.132.41: icmp_seq=104 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=105 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=106 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=107 ttl=112 time=260 ms
64 bytes from 202.181.132.41: icmp_seq=108 ttl=112 time=141 ms
64 bytes from 202.181.132.41: icmp_seq=109 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=110 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=111 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=112 ttl=112 time=260 ms
64 bytes from 202.181.132.41: icmp_seq=113 ttl=112 time=140 ms
64 bytes from 202.181.132.41: icmp_seq=114 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=115 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=116 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=117 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=118 ttl=112 time=140 ms
64 bytes from 202.181.132.41: icmp_seq=119 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=120 ttl=112 time=262 ms

--- 202.181.132.41 ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119352ms
rtt min/avg/max/mdev = 140.435/247.170/265.370/39.491 ms

1491465601
PING 202.181.132.41 (202.181.132.41) 56(84) bytes of data.
64 bytes from 202.181.132.41: icmp_seq=1 ttl=112 time=256 ms
